Date,Open,High,Low,Close,Volume,Adj Close,Return
19/05/2014,5419.5,5419.5,5350.5,5350.54,787307800,5350.54,-0.001960437
16/05/2014,5450.5,5450.5,5412,5419.5,631732800,5419.5,0.012888419
15/05/2014,5437.1,5450.5,5412.3,5450.5,738098500,5450.5,0.005720085
14/05/2014,5437.4,5444.9,5414.1,5436.62,685757000,5436.62,-0.002546555
13/05/2014,5389,5443.8,5389,5437.4,853342300,5437.4,0.000143471
12/05/2014,5402.1,5421.2,5373.4,5388.98,569850000,5388.98,-0.008904991
9/05/2014,5417.6,5417.6,5373.3,5402.07,689138400,5402.07,0.002429031
8/05/2014,5378.7,5424.7,5378.7,5417.61,684119500,5417.61,0.002876675
7/05/2014,5423.1,5423.1,5360.8,5378.74,652440200,5378.74,-0.00717475
6/05/2014,5403.8,5433.7,5403.8,5423.12,491719800,5423.12,0.008251003
5/05/2014,5405.5,5427.5,5384.6,5403.8,507958300,5403.8,-0.003562525
2/05/2014,5391.1,5400,5372.9,5399.63,631995500,5399.63,-0.000771679
1/05/2014,5430.8,5441.9,5381.7,5391.07,645200700,5391.07,-0.001585294
30/04/2014,5427.7,5448.7,5405.8,5430.79,723843400,5430.79,0.00736774
29/04/2014,5476.4,5494.2,5410.6,5427.74,770438100,5427.74,-0.000561613
28/04/2014,5471.9,5488.6,5460.1,5476.44,653417100,5476.44,0.008972427
24/04/2014,5458.9,5478.6,5458.9,5471.91,697755300,5471.91,-0.00082718
23/04/2014,5420.9,5462.2,5420.9,5458.92,607669800,5458.92,-0.002373943
22/04/2014,5396.9,5424.2,5395.2,5420.94,511358900,5420.94,-0.00695742
17/04/2014,5363.9,5402.1,5363.9,5396.93,617394400,5396.93,-0.004429121
16/04/2014,5332.5,5368.3,5331.1,5363.86,592487000,5363.86,-0.006127558
15/04/2014,5305.6,5351.9,5305.6,5332.48,651832800,5332.48,-0.005850265
14/04/2014,5373,5373,5304.2,5304.24,648328000,5304.24,-0.005295847
11/04/2014,5424.5,5424.5,5368.3,5372.96,672881800,5372.96,0.012955673
10/04/2014,5407.6,5446.7,5407.6,5424.52,840239200,5424.52,0.0095962
9/04/2014,5355.3,5420.6,5355.3,5407.58,826008400,5407.58,-0.003122857
8/04/2014,5359.1,5363.6,5337.7,5355.25,600670300,5355.25,-0.009677157
7/04/2014,5368.5,5368.5,5337.3,5359.1,496070200,5359.1,0.000718921
4/04/2014,5355.9,5368.5,5344.5,5368.5,575402000,5368.5,0.001754026
3/04/2014,5349,5365,5349,5355.91,669231900,5355.91,-0.002345162
2/04/2014,5335.3,5355.5,5335.3,5349.05,753627800,5349.05,-0.001280828
1/04/2014,5342.2,5348,5297.3,5335.28,778668400,5335.28,-0.002574289
31/03/2014,5315,5362.7,5315,5342.18,713969300,5342.18,0.001293278
28/03/2014,5298.6,5320.4,5291.1,5314.99,829761700,5314.99,-0.005089682
27/03/2014,5325.1,5325.1,5271.2,5298.57,750504800,5298.57,-0.003089376
26/03/2014,5286.9,5342.5,5286.9,5325.14,845867300,5325.14,0.005014561
25/03/2014,5298.3,5298.3,5261.4,5286.94,819342800,5286.94,-0.00717352
24/03/2014,5290.3,5298.3,5254.6,5298.29,707952900,5298.29,0.002146799
21/03/2014,5247.9,5290.33,5247.9,5290.33,1621028500,5290.33,-0.001502372
20/03/2014,5309.4,5309.4,5242.5,5247.91,1176727300,5247.91,-0.008018403
19/03/2014,5298.1,5310.6,5288.3,5309.41,1016726200,5309.41,0.011718951
18/03/2014,5272,5315.1,5272,5297.98,772219100,5297.98,-0.002152782
17/03/2014,5283.2,5285.1,5265.9,5271.98,683738300,5271.98,-0.004907531
14/03/2014,5365.3,5365.3,5283.2,5283.23,711415000,5283.23,0.002133923
13/03/2014,5336.8,5377.4,5336.8,5365.34,791537000,5365.34,0.015541629
12/03/2014,5365.7,5365.7,5298.8,5336.75,829900300,5336.75,-0.005328646
11/03/2014,5364.3,5384.6,5356.4,5365.74,910714000,5365.74,0.005432145
10/03/2014,5413.8,5413.8,5361.9,5364.35,698375200,5364.35,-0.000259051
7/03/2014,5397.5,5413.8,5396,5413.76,717041600,5413.76,0.009210808
6/03/2014,5397.7,5397.7,5374.9,5397.54,764473600,5397.54,-0.002996069
5/03/2014,5357.9,5404.1,5357.9,5397.69,918675600,5397.69,2.77904E-05
4/03/2014,5335.1,5359.7,5322.3,5352.11,773464500,5352.11,-0.008444353
3/03/2014,5356.5,5356.5,5293.5,5336.7,797817700,5336.7,-0.002879238
28/02/2014,5362.4,5391.3,5353.3,5356.52,1120905300,5356.52,0.003713906
27/02/2014,5388.1,5388.1,5357.2,5362.39,864318100,5362.39,0.001095861
26/02/2014,5385.8,5403.6,5374.7,5388.11,863644400,5388.11,0.004796369
25/02/2014,5392.2,5413.6,5379.5,5385.84,813248900,5385.84,-0.000421298
24/02/2014,5390.8,5407.3,5377.4,5392.22,858647700,5392.22,0.001184588
21/02/2014,5363.9,5403.9,5363.9,5390.77,910025800,5390.77,-0.000268906
20/02/2014,5360.3,5393,5351.9,5363.93,1102175100,5363.93,-0.004978881
19/02/2014,5345.4,5372.8,5345.4,5360.32,953880400,5360.32,-0.000673014
18/02/2014,5336.2,5350,5332.4,5345.43,770787500,5345.43,-0.002777819
17/02/2014,5313.5,5336.4,5308.9,5336.15,687053900,5336.15,-0.001736062
14/02/2014,5262.1,5309.53,5262.1,5309.53,692095300,5309.53,-0.004988615
13/02/2014,5263.3,5286,5257.6,5262.11,739831400,5262.11,-0.008931111
12/02/2014,5209.2,5263.62,5209.2,5263.62,866570500,5263.62,0.000286957
11/02/2014,5177.3,5216.2,5160.7,5209.24,602642700,5209.24,-0.010331293
10/02/2014,5123.1,5177.3,5123.1,5177.29,629667200,5177.29,-0.006133332
7/02/2014,5087.1,5124.4,5087.1,5123.06,818474600,5123.06,-0.010474592
6/02/2014,5027.6,5087.12,5027.6,5087.12,685414800,5087.12,-0.007015338
5/02/2014,5053.9,5068.1,5010,5027.59,760569300,5027.59,-0.011702103
4/02/2014,5143.1,5143.1,5049,5053.87,912657700,5053.87,0.005227157
3/02/2014,5145.8,5153.8,5119.7,5143.08,544713900,5143.08,0.017651819
31/01/2014,5143.3,5151.9,5125.9,5145.78,748908300,5145.78,0.000524977
30/01/2014,5183.8,5183.8,5117.8,5143.31,748487400,5143.31,-0.000480005
