"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Today's workers &amp; businesses are rethinking what the ""#workday"" means. The 12 most common types of #flexwork: http://t.co/hrzmKX3PKN",FALSE,0,NA,2014-08-21 21:01:32,FALSE,NA,"502561162664636417",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"We love #innovation! This bike grows up w/ your kids so you don't have to buy new ones: http://t.co/lBk3mPcIbi http://t.co/yz2u1veE0o",FALSE,0,NA,2014-08-21 20:02:27,FALSE,NA,"502546292149874689",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#Sales: Looking for some non-sketchy ways to stay in touch w/ your leads? 7 helpful tricks: http://t.co/wBPZ7OSL5X via @FastCompany",FALSE,1,NA,2014-08-21 19:02:03,FALSE,NA,"502531089853067266",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"What if your company replaced #workations with a company-planned workation? http://t.co/YNA498fD7Q http://t.co/dW0tBJA7qi",FALSE,0,NA,2014-08-21 18:23:51,FALSE,NA,"502521479301304320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PGi",0,FALSE,FALSE,NA,NA
"We're hiring! View our open positions here: http://t.co/Mab3rDsjKR w/ @PGiJobs #jobs #careerhunt #hiring http://t.co/6Sbn2jmeUk",FALSE,0,NA,2014-08-21 18:02:03,FALSE,NA,"502515990182518784",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"We're really excited to be partnering with @thinkingphones &amp; integrating our products: http://t.co/N0ExaAf1oa by @talkin_cloud @dkobialka",FALSE,1,NA,2014-08-21 17:01:35,FALSE,NA,"502500774996619265",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#HR: Watch our recent webcast, learn innovative ways to communicate benefits to a dispersed workforce http://t.co/HgcGPmSorS #humanresources",FALSE,1,NA,2014-08-21 16:02:05,FALSE,NA,"502485800651866113",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"Hosted an awesome #webinar? Here's what you should do immediately after it's over: http://t.co/ckZ6ZwwJm8  http://t.co/9HD308alQV",FALSE,0,NA,2014-08-21 15:02:00,FALSE,NA,"502470680714412032",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",2,FALSE,FALSE,NA,NA
"#Millennials: 9 career tips by Fairy God-Millennial @BlakelyAgs: http://t.co/jxrhculoRY w/ @chelseakrost Career Guide http://t.co/MWKtodunGa",FALSE,1,NA,2014-08-21 14:02:24,FALSE,NA,"502455680952188930",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"Follow us on #GooglePlus company news, collaboration trends and so much more! Go here: http://t.co/aq3koPF4pB http://t.co/BEClclo5G1",FALSE,0,NA,2014-08-21 13:02:46,FALSE,NA,"502440675116601344",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
